id,name,attribute_id/id
variant_value_4,42.5,wobe_imports.variant_attribute_3
variant_value_5,52,wobe_imports.variant_attribute_3
variant_value_6,65,wobe_imports.variant_attribute_3
variant_value_pages_8,8,wobe_imports.variant_attribute_2
variant_value_pages_10,10,wobe_imports.variant_attribute_2
variant_value_pages_12,12,wobe_imports.variant_attribute_2
variant_value_pages_14,14,wobe_imports.variant_attribute_2
variant_value_pages_16,16,wobe_imports.variant_attribute_2
variant_value_pages_18,18,wobe_imports.variant_attribute_2
variant_value_pages_20,20,wobe_imports.variant_attribute_2
variant_value_pages_22,22,wobe_imports.variant_attribute_2
variant_value_pages_24,24,wobe_imports.variant_attribute_2
variant_value_pages_26,26,wobe_imports.variant_attribute_2
variant_value_pages_28,28,wobe_imports.variant_attribute_2
variant_value_pages_30,30,wobe_imports.variant_attribute_2
variant_value_pages_32,32,wobe_imports.variant_attribute_2
variant_value_pages_34,34,wobe_imports.variant_attribute_2
variant_value_pages_36,36,wobe_imports.variant_attribute_2
variant_value_pages_38,38,wobe_imports.variant_attribute_2
variant_value_pages_40,40,wobe_imports.variant_attribute_2
variant_value_pages_42,42,wobe_imports.variant_attribute_2
variant_value_pages_44,44,wobe_imports.variant_attribute_2
variant_value_pages_46,46,wobe_imports.variant_attribute_2
variant_value_pages_48,48,wobe_imports.variant_attribute_2
variant_value_pages_50,50,wobe_imports.variant_attribute_2
variant_value_pages_52,52,wobe_imports.variant_attribute_2
variant_value_pages_54,54,wobe_imports.variant_attribute_2
variant_value_pages_56,56,wobe_imports.variant_attribute_2
variant_value_pages_58,58,wobe_imports.variant_attribute_2
variant_value_pages_60,60,wobe_imports.variant_attribute_2
variant_value_pages_62,62,wobe_imports.variant_attribute_2
variant_value_pages_64,64,wobe_imports.variant_attribute_2
variant_value_pages_66,66,wobe_imports.variant_attribute_2
variant_value_pages_68,68,wobe_imports.variant_attribute_2
variant_value_pages_70,70,wobe_imports.variant_attribute_2
variant_value_pages_72,72,wobe_imports.variant_attribute_2
variant_value_pages_74,74,wobe_imports.variant_attribute_2
variant_value_pages_76,76,wobe_imports.variant_attribute_2
variant_value_pages_78,78,wobe_imports.variant_attribute_2
variant_value_pages_80,80,wobe_imports.variant_attribute_2
variant_value_pages_82,82,wobe_imports.variant_attribute_2
variant_value_pages_84,84,wobe_imports.variant_attribute_2
variant_value_pages_86,86,wobe_imports.variant_attribute_2
variant_value_pages_88,88,wobe_imports.variant_attribute_2
variant_value_pages_90,90,wobe_imports.variant_attribute_2
variant_value_pages_92,92,wobe_imports.variant_attribute_2
variant_value_pages_94,94,wobe_imports.variant_attribute_2
variant_value_pages_96,96,wobe_imports.variant_attribute_2
variant_value_paperwidth_1,830,wobe_imports.variant_attribute_paperWidth
variant_value_paperwidth_2,867,wobe_imports.variant_attribute_paperWidth
variant_value_paperwidth_3,1011,wobe_imports.variant_attribute_paperWidth
variant_value_paperwidth_4,1156,wobe_imports.variant_attribute_paperWidth
variant_value_paperwidth_5,1243,wobe_imports.variant_attribute_paperWidth
variant_value_paperwidth_6,1444,wobe_imports.variant_attribute_paperWidth
variant_value_paperwidth_7,1660,wobe_imports.variant_attribute_paperWidth
variant_value_paperwidth_8,1734,wobe_imports.variant_attribute_paperWidth
